CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
750,Germany,Male,42,8,151836.36,2,1,0,68695.38,0,0,5,GOLD,769
663,France,Male,34,7,0.0,2,1,1,180427.24,0,0,3,SILVER,912
545,France,Male,30,3,0.0,2,1,0,170307.43,0,0,4,PLATINUM,396
540,France,Female,40,3,165298.12,1,0,1,199862.75,0,0,4,GOLD,656
676,France,Male,31,3,78990.15,1,1,1,124777.14,0,0,1,SILVER,225
521,France,Male,38,6,0.0,2,1,0,51454.06,0,0,4,SILVER,572
600,France,Male,29,8,0.0,2,0,1,34747.43,0,0,4,SILVER,738
738,France,Male,39,5,0.0,2,1,1,114388.98,0,0,3,SILVER,514
680,France,Male,44,3,0.0,2,1,0,86935.08,0,0,5,SILVER,254
733,France,Female,28,5,0.0,2,0,0,12761.16,0,0,5,SILVER,777
480,Germany,Female,25,3,174330.35,2,0,0,181647.13,0,0,1,DIAMOND,425
526,Spain,Female,36,5,91132.18,1,0,0,58111.71,0,0,1,DIAMOND,485
501,Germany,Female,34,7,93244.42,1,0,1,199805.63,0,0,2,PLATINUM,354
724,France,Female,41,5,109798.25,1,0,1,149593.61,0,0,1,PLATINUM,829
680,Spain,Female,30,3,0.0,1,1,0,160131.58,0,0,4,GOLD,916
704,Spain,Male,37,4,0.0,2,0,0,25684.93,0,0,5,SILVER,439
708,Spain,Male,33,3,0.0,2,1,0,138613.21,0,0,5,DIAMOND,729
696,Germany,Male,32,4,84421.62,1,0,1,52314.71,0,0,5,PLATINUM,491
608,Germany,Male,23,8,197715.93,2,1,1,116124.28,0,0,5,DIAMOND,845
642,France,Female,55,7,0.0,2,1,1,101515.76,0,0,1,PLATINUM,918
535,Spain,Female,49,7,115309.75,1,1,0,111421.77,0,0,5,GOLD,885
590,Spain,Female,44,3,139432.37,1,1,0,62222.81,0,0,4,PLATINUM,816
565,Germany,Male,33,8,130368.31,2,1,0,105642.43,0,0,3,GOLD,860
751,Spain,Male,38,7,0.0,2,0,0,90839.61,0,0,3,PLATINUM,654
678,Germany,Male,23,10,115563.71,1,1,1,91633.53,0,0,3,DIAMOND,297
797,Germany,Male,32,1,151922.94,1,1,0,8877.06,0,0,2,GOLD,848
