Geography,Gender,Card Type,Age,CreditScore,Tenure,Point Earned,Balance,EstimatedSalary,NumOfProducts,IsActiveMember,HasCrCard,Satisfaction Score,Exited
0,0,0.0,0.20967741935483875,0.682,5,0.2855436081242533,0.16307637096798946,0.6311861864799977,1,0,1,2,1
1,0,1.0,0.19354838709677424,0.7319999999999999,2,0.7180406212664276,0.8201368930309514,0.32716297170464037,2,0,0,2,0
0,1,3.0,0.29032258064516125,0.7999999999999999,7,0.5639187574671445,0.5440173737472455,0.1321632527109603,3,1,1,3,1
0,0,0.0,0.1774193548387097,0.5459999999999999,1,0.10633213859020307,0.0,0.19663090688171211,2,0,0,2,0
1,0,0.0,0.3548387096774194,0.7000000000000001,4,0.1230585424133811,0.592157038740311,0.9495421748948302,1,0,1,2,1
2,1,0.0,0.3548387096774194,0.5559999999999999,10,0.2843488649940263,0.0,0.519177717955433,2,0,1,2,0
1,0,2.0,0.5,0.42200000000000004,1,0.992831541218638,0.40664048100166894,0.6654064004481688,1,0,1,1,1
2,0,3.0,0.12903225806451613,0.7259999999999999,4,0.6523297491039426,0.48967076632588163,0.7236121428160697,2,0,1,1,1
2,1,2.0,0.25806451612903225,0.44800000000000006,5,0.5531660692951015,0.0,0.1410191806456259,2,0,0,5,0
0,1,3.0,0.20967741935483875,0.46199999999999986,3,0.4707287933094384,0.0,0.44515034388617575,2,0,0,3,0
0,0,2.0,0.06451612903225812,0.372,5,0.08124253285543609,0.35668912425758204,0.21440897314485405,1,0,0,2,0
1,1,0.0,0.20967741935483875,0.68,2,0.42174432497013137,0.5470765042491955,0.27673006933274186,2,0,1,5,0
1,0,1.0,0.3709677419354839,0.598,4,0.44563918757467147,0.46193149577184905,0.7179184993591905,1,0,1,3,0
0,0,1.0,0.06451612903225812,0.236,1,0.7837514934289127,0.3041818293634679,0.9743455993384365,1,1,1,5,0
2,1,2.0,0.3548387096774194,0.904,4,0.8100358422939068,0.0,0.40945518454658414,2,1,1,3,0
0,1,1.0,0.5483870967741935,0.4899999999999999,9,0.3775388291517323,0.0,0.5317295671246527,1,1,1,4,1
1,0,3.0,0.29032258064516125,0.9999999999999999,6,0.6750298685782556,0.5725199422602222,0.11015297603709223,1,0,1,3,1
2,0,0.0,0.5,0.4979999999999999,2,0.3154121863799283,0.0,0.556001056363562,2,0,1,5,0
2,0,3.0,0.3709677419354839,0.5279999999999999,7,0.43130227001194743,0.5858858471182464,0.6891257360401289,2,0,0,5,0
1,0,1.0,0.12903225806451613,0.4839999999999999,4,0.9390681003584228,0.4188237144411901,0.6641549089001533,2,0,1,1,0
1,0,3.0,0.24193548387096775,0.9999999999999999,2,0.12903225806451613,0.3324658230758154,0.37447102374430835,1,1,0,3,0
1,1,0.0,0.3548387096774194,0.5259999999999999,1,0.10274790919952209,0.5893102653750772,0.5398392143393597,3,0,0,2,1
2,0,2.0,0.7419354838709677,0.594,1,0.2855436081242533,0.3635579688948609,0.20873254539127864,1,1,1,1,0
2,0,3.0,0.4193548387096775,0.2919999999999999,0,0.19474313022700118,0.7148570959627474,0.014150207111416678,2,0,1,1,1
2,1,2.0,0.32258064516129037,0.7159999999999999,8,0.2974910394265233,0.3971369012813131,0.061743669488123584,1,0,1,2,0
0,0,2.0,0.4838709677419355,0.8019999999999999,4,0.5113500597371565,0.0,0.15050383207042303,1,1,0,3,1
1,0,1.0,0.4838709677419355,0.44400000000000006,3,0.2258064516129032,0.6091237681402836,0.19177512768271576,1,0,1,5,1
0,0,1.0,0.27419354838709675,0.7119999999999999,8,0.14575866188769415,0.709581049421301,0.21064178690592622,1,1,0,1,0
0,0,2.0,0.5161290322580645,0.5559999999999999,4,0.17084826762246114,0.5701699841557184,0.5480852359479699,1,1,0,5,1
0,1,2.0,0.22580645161290325,0.564,6,0.7395459976105137,0.4447595834627518,0.8522335648461743,1,1,1,4,0
2,1,3.0,0.24193548387096775,0.44600000000000006,1,0.2939068100358423,0.640809581292548,0.7479042008167749,1,1,1,5,0
1,0,3.0,0.6129032258064516,0.584,6,0.9020310633213858,0.4115011796223718,0.715442440822396,2,0,1,4,1
2,1,3.0,0.4193548387096775,0.43200000000000005,5,0.15651135005973715,0.0,0.33215817808213755,2,0,1,5,0
0,1,2.0,0.12903225806451613,0.592,4,0.8984468339307049,0.5573903332624016,0.8237740054590794,1,0,1,2,0
0,0,2.0,0.27419354838709675,0.5379999999999999,4,0.27001194743130225,0.36035794453437253,0.10241071393271373,1,1,1,3,0
1,0,3.0,0.3548387096774194,0.9999999999999999,7,0.9175627240143368,0.4163036872859415,0.0032836451769481527,1,1,1,4,0
0,1,0.0,0.5161290322580645,0.5159999999999999,6,0.2150537634408602,0.0,0.4678118145466387,1,0,1,4,1
2,0,0.0,0.3709677419354839,0.2879999999999999,2,0.996415770609319,0.2788967424981195,0.9425316302265111,2,0,1,4,1
1,1,1.0,0.5,0.15999999999999992,3,0.28793309438470727,0.5464974245120798,0.7327939680179274,1,0,1,1,1
2,1,3.0,0.5161290322580645,0.7699999999999999,9,0.8637992831541218,0.0,0.8336884489186811,1,0,0,2,1
0,0,0.0,0.6612903225806451,0.47799999999999987,2,0.15412186379928317,0.0,0.6309179418006134,2,1,1,4,1
2,0,1.0,0.435483870967742,0.9999999999999999,5,0.09199522102747909,0.6938606029244783,0.027913261081095122,4,0,1,1,1
2,1,3.0,0.4032258064516129,0.356,7,0.5866188769414575,0.38849984868358306,0.7993862101315715,2,1,1,3,0
0,0,0.0,0.1774193548387097,0.47999999999999987,4,0.21027479091995221,0.0,0.6093311013641092,2,0,1,1,0
0,1,2.0,0.20967741935483875,0.5319999999999999,1,0.8231780167264037,0.0,0.27332431277189484,2,1,1,3,0
2,0,2.0,0.435483870967742,0.574,2,0.4575866188769414,0.6294565654126743,0.7258758076179186,1,1,1,4,1
1,0,3.0,0.7741935483870968,0.9999999999999999,0,0.5424133811230585,0.5066623663815057,0.5947319347342678,1,1,0,1,1
1,1,3.0,0.29032258064516125,0.5119999999999999,5,0.9151732377538829,0.75919063393428,0.8971190071023284,2,0,0,5,0
1,0,0.0,0.27419354838709675,0.44400000000000006,1,0.5197132616487455,0.5579120590356029,0.9287025660456184,1,0,1,4,0
2,1,1.0,0.08064516129032262,0.67,5,0.3930704898446834,0.657248646253146,0.7059465791721918,1,0,0,3,0
0,0,3.0,0.24193548387096775,0.872,0,0.5161290322580645,0.3309552894563686,0.7752012498200233,1,1,0,2,1
0,0,0.0,0.467741935483871,0.392,8,0.3213859020310633,0.0,0.3318840280161549,1,1,1,3,1
1,1,3.0,0.6451612903225806,0.7779999999999999,1,0.7980884109916367,0.44080750076654635,0.8008850773232804,1,1,0,2,1
1,1,0.0,0.4516129032258065,0.7719999999999999,5,0.5340501792114695,0.5213786601564007,0.3898045101839642,1,1,1,3,1
1,0,1.0,0.5967741935483871,0.888,6,0.33333333333333326,0.4615288223198511,0.8029054201790161,1,0,1,1,1
0,1,0.0,0.20967741935483875,0.59,7,0.4408602150537634,0.6423791428623471,0.06259804881022225,2,0,1,3,1
0,1,3.0,0.5806451612903226,0.7759999999999999,4,0.33572281959378736,0.0,0.27842041117805605,1,1,0,4,1
2,1,0.0,0.32258064516129037,0.866,1,0.44324970131421737,0.0,0.40079953929977225,3,1,1,3,1
0,1,1.0,0.5806451612903226,0.68,5,0.32974910394265233,0.0,0.06383752940244444,1,0,1,5,1
2,1,1.0,0.33870967741935487,0.378,2,0.35125448028673834,0.0,0.24071051409543215,2,1,1,4,0
0,0,0.0,0.16129032258064518,0.8119999999999999,6,0.3524492234169654,0.0,0.8222645285897531,1,1,1,2,0
1,1,1.0,0.30645161290322587,0.836,9,0.21863799283154123,0.4316816839857171,0.20867284093185598,1,0,1,1,1
1,0,1.0,0.435483870967742,0.91,9,0.8626045400238948,0.4646746015483817,0.9475493071004716,1,0,1,1,1
0,1,3.0,0.1774193548387097,0.838,4,0.25686977299880526,0.5798026202590861,0.9423146322918449,1,0,1,3,0
1,0,1.0,0.25806451612903225,0.658,7,0.4790919952210274,0.48252200724206395,0.28472386086969226,1,0,1,1,0
1,1,3.0,0.3548387096774194,0.7799999999999999,4,0.16726403823178015,0.4556383031851698,0.6467996783265856,2,0,1,5,1
2,1,3.0,0.5483870967741935,0.572,4,0.8303464755077657,0.4435447475905457,0.16437338318146896,1,1,0,2,1
1,1,2.0,0.22580645161290325,0.4959999999999999,9,0.2532855436081242,0.4939798465584175,0.9949208670688969,2,0,1,5,0
0,1,2.0,0.22580645161290325,0.7539999999999999,1,0.9677419354838709,0.23623862581018454,0.229848055904193,1,1,1,2,0
0,1,3.0,0.20967741935483875,0.5439999999999999,7,0.9737156511350059,0.0,0.1767463191550172,1,0,1,2,0
1,1,3.0,0.532258064516129,0.2699999999999999,7,0.5615292712066905,0.5749130653007363,0.25533985825170424,2,0,1,4,0
0,0,3.0,0.5483870967741935,0.816,7,0.6977299880525687,0.49859263575900487,0.8562714480012943,1,0,1,2,1
2,0,1.0,0.27419354838709675,0.672,4,0.5507765830346475,0.0,0.7986524908695466,2,1,1,2,0
0,1,2.0,0.19354838709677424,0.348,1,0.6487455197132617,0.0,0.6341839709090646,2,0,1,3,0
0,1,3.0,0.3709677419354839,0.846,4,0.6021505376344085,0.0,0.12427921128257138,2,1,1,2,0
0,1,0.0,0.33870967741935487,0.354,4,0.48267622461170845,0.0,0.8362193574869317,2,0,1,2,1
0,1,0.0,0.20967741935483875,0.652,3,0.07407407407407407,0.3148296186710708,0.6239961280682174,1,1,1,1,0
1,1,2.0,0.16129032258064518,0.59,7,0.46714456391875747,0.4681822408452771,0.17214857532298083,2,1,1,4,0
2,0,1.0,0.5,0.376,9,0.7574671445639187,0.5637111067684892,0.8692303684806095,1,0,0,5,1
1,0,2.0,0.32258064516129037,0.47399999999999987,0,0.899641577060932,0.5265979505862322,0.15833727734753253,2,0,0,5,0
0,1,3.0,0.08064516129032262,0.7020000000000001,3,0.10752688172043012,0.0,0.1945216329074565,2,0,1,2,0
1,0,0.0,0.22580645161290325,0.29399999999999993,8,0.7873357228195937,0.44455192943079,0.04707413867559294,4,1,1,5,1
1,0,2.0,0.4193548387096775,0.42800000000000005,3,0.7431302270011947,0.44544141408170945,0.5236312302266513,3,1,1,3,1
0,1,3.0,0.24193548387096775,0.62,0,0.4659498207885304,0.2900915666595948,0.9056272679124262,1,0,0,1,0
0,0,0.0,0.6451612903225806,0.5499999999999999,10,0.31660692951015534,0.2143210018059524,0.9607781237655928,1,1,1,5,1
1,0,2.0,0.532258064516129,0.4819999999999999,8,0.7037037037037036,0.5281359455546274,0.8068005731427921,1,1,1,5,1
1,1,2.0,0.09677419354838712,0.5299999999999999,8,0.17801672640382316,0.43255837459743124,0.8978022303043721,2,0,0,2,1
0,0,2.0,0.19354838709677424,0.6880000000000001,9,0.7956989247311828,0.0,0.13446545266264623,2,1,1,5,0
0,1,0.0,0.29032258064516125,0.7659999999999999,5,0.41816009557945044,0.0,0.5456766889918638,2,1,1,5,0
0,1,1.0,0.6774193548387097,0.848,5,0.45041816009557945,0.3423364043943101,0.3705566532512631,1,0,1,5,1
0,0,1.0,0.25806451612903225,0.2739999999999999,2,0.6893667861409797,0.38270319235989403,0.04500730341180708,1,0,0,2,0
2,0,3.0,0.27419354838709675,0.5079999999999999,7,0.9999999999999999,0.5870332452510898,0.28883996537441625,1,1,1,5,0
1,1,3.0,0.27419354838709675,0.578,10,0.3452807646356033,0.510860405513649,0.29527753740574464,2,0,1,3,0
0,1,1.0,0.32258064516129037,0.82,6,0.4360812425328554,0.649222678418955,0.4554504891636906,1,0,1,2,1
0,1,3.0,0.435483870967742,0.7299999999999999,4,0.18757467144563916,0.0,0.275011751969559,2,1,1,4,0
0,0,0.0,0.4838709677419355,0.8019999999999999,9,0.6439665471923536,0.0,0.6877106452650785,1,0,1,3,1
0,0,3.0,0.3548387096774194,0.346,2,0.5292712066905615,0.41039535215274064,0.6436388451726242,1,0,1,1,1
1,1,0.0,0.3709677419354839,0.41000000000000003,10,0.28076463560334525,0.451458996758405,0.9273228074988601,2,1,1,1,0
0,1,2.0,0.6290322580645161,0.6960000000000001,6,0.6260454002389486,0.5433500111539312,0.3626183623392077,2,1,1,2,1
2,1,3.0,0.5161290322580645,0.33599999999999997,4,0.07407407407407407,0.0,0.5355910393665582,1,0,0,2,1
1,1,0.0,0.4032258064516129,0.30999999999999994,5,0.5818399044205496,0.5454642560252253,0.8556743533614185,2,0,1,1,0
2,0,3.0,0.8225806451612903,0.7639999999999999,9,0.6642771804062126,0.5478456611606729,0.5547084272919544,1,1,0,5,1
2,1,0.0,0.4032258064516129,0.7439999999999999,1,0.34050179211469533,0.0,0.2225450945079554,1,0,1,5,1
1,1,0.0,0.4516129032258065,0.7979999999999999,10,0.8649940262843488,0.3114266832401953,0.3672311198659857,2,1,1,5,0
0,1,0.0,0.12903225806451613,0.41200000000000003,4,0.6738351254480286,0.0,0.9762686534522464,1,0,1,4,0
1,1,2.0,0.3709677419354839,0.32399999999999995,7,0.6188769414575865,0.4878603898499188,0.18691124108855892,1,1,0,2,1
0,1,0.0,0.4516129032258065,0.5579999999999999,1,0.5053763440860215,0.5207939207508515,0.8059047059775575,1,1,1,1,1
2,0,2.0,0.29032258064516125,0.2739999999999999,1,0.6140979689366786,0.55854211564544,0.9707934092082091,1,0,1,2,0
0,0,2.0,0.3548387096774194,0.0,0,0.6057347670250895,0.44280468615763485,0.8619335126535669,1,1,1,2,1
2,1,3.0,0.33870967741935487,0.33799999999999997,4,0.25567502986857826,0.4459983732837504,0.4878721125474601,1,1,1,2,0
1,1,0.0,0.5967741935483871,0.9999999999999999,0,0.5388291517323776,0.3934302170255661,0.41800838634960874,1,1,1,4,1
1,1,3.0,0.09677419354838712,0.62,5,0.7718040621266428,0.3391388910134789,0.3580578524701306,1,1,1,3,0
0,0,2.0,0.24193548387096775,0.7699999999999999,4,0.9988052568697728,0.0,0.7475966202571676,2,0,1,2,0
0,0,3.0,0.5645161290322581,0.4879999999999999,4,0.9820788530465948,0.0,0.026609221601483792,1,0,1,2,1
0,1,3.0,0.32258064516129037,0.378,5,0.08482676224611707,0.0,0.23669920518000495,2,0,1,3,0
0,0,1.0,0.4516129032258065,0.47199999999999986,0,0.13022700119474312,0.0,0.6579104630288518,3,1,0,1,1
0,0,3.0,0.29032258064516125,0.8059999999999999,7,0.2329749103942652,0.512235784656631,0.2225834294751958,1,1,1,4,1
0,1,0.0,0.7258064516129032,0.58,2,0.2640382317801673,0.27274998386795213,0.5625705987716696,2,1,1,1,1
1,0,1.0,0.6774193548387097,0.7040000000000001,5,0.3739545997610514,0.5524057197884609,0.20741339212562734,2,1,1,4,1
2,1,2.0,0.4516129032258065,0.5459999999999999,4,0.5197132616487455,0.0,0.027311712378445995,1,0,1,3,1
1,1,2.0,0.5161290322580645,0.46199999999999986,2,0.7670250896057347,0.573257452856656,0.9064893042188431,2,0,1,5,1
0,1,0.0,0.6129032258064516,0.886,8,0.3524492234169654,0.47627405214603274,0.14908218531533537,2,0,1,2,0
0,0,0.0,0.24193548387096775,0.1439999999999999,2,0.2019115890083632,0.0,0.5132859938192622,2,0,1,4,0
0,1,2.0,0.24193548387096775,0.588,2,0.38112305854241335,0.0,0.4820838828137085,1,0,1,1,0
0,1,2.0,0.11290322580645162,0.5139999999999999,3,0.5507765830346475,0.0,0.9356382924684751,2,0,0,3,0
0,0,2.0,0.4838709677419355,0.7519999999999999,4,0.1433691756272401,0.0,0.5701616229243504,1,0,1,2,1
2,1,1.0,0.22580645161290325,0.43200000000000005,10,0.7622461170848267,0.5879329731047376,0.7997258699522769,1,1,1,2,0
1,1,0.0,0.33870967741935487,0.5559999999999999,1,0.8649940262843488,0.4597133043141142,0.538403855076408,1,1,1,4,1
0,0,2.0,0.3548387096774194,0.6960000000000001,7,0.34050179211469533,0.41874268552622307,0.539109548774915,3,0,1,1,1
1,1,1.0,0.8064516129032258,0.816,6,0.8124253285543607,0.4487712521047889,0.17903175381424166,1,0,1,4,1
1,1,0.0,0.3548387096774194,0.5419999999999999,8,0.992831541218638,0.6940138523972025,0.8627821367260146,3,0,1,5,1
2,1,3.0,0.30645161290322587,0.822,7,0.5806451612903225,0.5290202488189528,0.9969156365979228,1,0,1,2,0
0,0,0.0,0.22580645161290325,0.31999999999999995,1,0.4301075268817204,0.0,0.1422468504646513,2,1,0,4,0
1,1,1.0,0.532258064516129,0.9999999999999999,4,0.9402628434886499,0.4959224281061686,0.5928094311225984,1,0,0,1,1
2,0,2.0,0.11290322580645162,0.31799999999999995,3,0.5161290322580645,0.43339791865294797,0.5346317643638645,2,0,1,3,0
0,1,0.0,0.8709677419354838,0.584,1,0.8040621266427718,0.6398653732278313,0.7113097712078071,2,1,1,5,0
0,0,0.0,0.22580645161290325,0.39,6,0.13620071684587814,0.0,0.2601153642294819,2,1,1,5,0
1,0,3.0,0.6129032258064516,0.634,8,0.08602150537634407,0.5478879492466444,0.6543720854977867,1,0,1,3,1
0,1,0.0,0.7580645161290323,0.646,0,0.5161290322580645,0.0,0.4285988464377782,1,1,1,3,0
1,1,0.0,0.3548387096774194,0.64,2,0.9462365591397849,0.6574341797500333,0.8854889487445974,3,0,0,3,1
0,0,2.0,0.14516129032258068,0.9859999999999999,5,0.4707287933094384,0.0,0.33732008651691636,2,1,1,1,0
0,1,2.0,0.24193548387096775,0.12,6,0.7801672640382318,0.5013577026433322,0.3315114381583161,1,0,0,3,1
0,0,2.0,0.467741935483871,0.7939999999999999,5,0.0800477897252091,0.5576551021173578,0.6499569081938089,4,1,0,5,1
0,0,1.0,0.25806451612903225,0.652,8,0.40501792114695334,0.33044946655432894,0.45904686960210755,1,0,1,1,1
0,1,2.0,0.3548387096774194,0.30199999999999994,4,0.9080047789725209,0.5015271339849579,0.5021684529543623,1,1,1,3,0
0,0,2.0,0.19354838709677424,0.85,5,0.7694145758661888,0.0,0.969828879412356,1,0,1,5,1
0,1,1.0,0.4032258064516129,0.6900000000000001,1,0.974910394265233,0.40024657023096516,0.5057089324026911,1,1,1,1,0
1,0,0.0,0.5645161290322581,0.6900000000000001,8,0.2855436081242533,0.3795641090771158,0.3505650178810602,1,0,0,4,1
0,1,2.0,0.467741935483871,0.258,1,0.7395459976105137,0.0,0.47632988430396783,1,0,1,4,0
0,1,1.0,0.32258064516129037,0.7559999999999999,1,0.6081242532855435,0.4620790058624999,0.6954708737574978,1,1,1,5,0
0,1,2.0,0.19354838709677424,0.20399999999999996,7,0.4922341696535245,0.4501264636968739,0.4950795367994916,1,1,1,1,0
2,1,1.0,0.7903225806451613,0.932,6,0.3536439665471923,0.605261602429895,0.3639447722239841,1,1,1,5,0
