Model,Data Set,Score,Accuracy,Precision,Recall,F1-score
LogisticRegression,Train,0.7038748666903661,0.7038748666903661,0.7032400589101621,0.6895306859205776,0.6963179001093693
LogisticRegression,Val,0.6861167002012073,0.6861167002012073,0.7013574660633484,0.6326530612244898,0.6652360515021459
LogisticRegression,Test,0.7016908212560387,0.7016908212560387,0.7058823529411765,0.6764705882352942,0.690863579474343
DecisionTreeClassifier,Train,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,Val,0.6800804828973843,0.6800804828973843,0.6733870967741935,0.6816326530612244,0.6774847870182555
DecisionTreeClassifier,Test,0.7053140096618358,0.7053140096618358,0.716931216931217,0.6642156862745098,0.6895674300254453
RandomForestClassifier,Train,0.9996445076430857,0.9996445076430857,0.9992784992784993,1.0,0.9996391194514616
RandomForestClassifier,Val,0.7525150905432596,0.7525150905432596,0.7563025210084033,0.7346938775510204,0.7453416149068323
RandomForestClassifier,Test,0.7814009661835749,0.7814009661835749,0.7948051948051948,0.75,0.7717528373266078
AdaBoostClassifier,Train,0.7682189832918592,0.7682189832918592,0.7737117251680359,0.748014440433213,0.7606461086637298
AdaBoostClassifier,Val,0.7545271629778671,0.7545271629778671,0.759493670886076,0.7346938775510204,0.7468879668049793
AdaBoostClassifier,Test,0.7693236714975845,0.7693236714975845,0.7789203084832905,0.7426470588235294,0.7603513174404015
GradientBoostingClassifier,Train,0.813722004976893,0.813722004976893,0.8308993082244427,0.7805054151624549,0.8049143708116158
GradientBoostingClassifier,Val,0.7565392354124748,0.7565392354124748,0.7627118644067796,0.7346938775510204,0.7484407484407485
GradientBoostingClassifier,Test,0.7946859903381642,0.7946859903381642,0.8051282051282052,0.7696078431372549,0.7869674185463659
XGBClassifier,Train,0.998933522929257,0.998933522929257,0.9992774566473989,0.9985559566787003,0.9989165763813651
XGBClassifier,Val,0.7484909456740443,0.7484909456740443,0.74,0.7551020408163265,0.7474747474747475
XGBClassifier,Test,0.7620772946859904,0.7620772946859904,0.7670886075949367,0.7426470588235294,0.7546699875466999
GaussianNB,Train,0.7390686100248844,0.7390686100248844,0.7464042392127176,0.711913357400722,0.7287509238728751
GaussianNB,Val,0.7303822937625755,0.7303822937625755,0.7444933920704846,0.689795918367347,0.7161016949152542
GaussianNB,Test,0.7342995169082126,0.7342995169082126,0.7422680412371134,0.7058823529411765,0.7236180904522613
SVC,Train,0.7237824386775684,0.7237824386775684,0.7196531791907514,0.7191335740072202,0.7193932827735645
SVC,Val,0.7002012072434608,0.7002012072434608,0.7,0.6857142857142857,0.6927835051546392
SVC,Test,0.6980676328502415,0.6980676328502415,0.6872037914691943,0.7107843137254902,0.6987951807228916
